pid,lat,lon,x,y
p06-01103,38.528695102996934,-122.88735103388747,-1963037.344292022,-446193.155792285
p48-06400,27.855393302392933,-97.58027928969676,240534.72048010264,-1895966.752912084
p08-00901,38.832101508844836,-104.52557864498841,-392332.046206236,-674841.0374408806
p42-00902,41.264046610835905,-76.00549595136309,1971244.090296711,-123995.1398350818
p41-01308,45.4107586515303,-122.4634661776365,-1725274.8599862945,288369.9627432925
p17-02300,41.13769882681981,-87.86177767664412,1012515.0020479368,-354548.77135181305
p27-00800,45.58589179469919,-94.47206521568984,429761.683340808,79856.40835405233
p28-01900,31.19763456588356,-89.38720592411453,1013656.9336174801,-1468505.2246953466
p08-00200,40.600044267023875,-105.16712293537046,-436213.3980073858,-475481.79110581486
p04-00400,35.83872869036634,-111.77050048007389,-1060166.9904852335,-943427.9315923916
p51-03000,36.94096851096915,-76.48527246422967,2061134.3742500965,-602788.8438686533
p42-03102,40.33388753386715,-76.98602603646839,1921008.1901086278,-247834.72845331096
p12-02401,27.948874891173965,-81.6977461318105,1801694.8860278325,-1699227.5295066957
p48-02202,32.76869152032171,-96.99120341748376,282860.0830956471,-1352506.3092462474
p47-02900,35.54450734684198,-88.7617181074511,1016555.4574547735,-982415.4488110848
p47-00502,36.164660706158045,-86.73432816062248,1188330.8168973967,-887541.5926919385
p06-00600,39.66692074775246,-121.6006461398094,-1824923.5049198407,-352389.67068110633
p06-06101,34.22223468770666,-118.14949325905623,-1660461.7253718271,-1018010.6125438975
p26-02301,43.047128897216126,-83.69411987546596,1314247.1664483063,-85139.27032862227
p12-00702,30.510243763167328,-84.42219232018138,1494397.7755299436,-1471568.9873314446
p36-03202,41.76514997855407,-73.7428556699333,2132362.925985363,-12979.582851796378
p42-00200,41.9916540427823,-80.03215194658416,1630530.9666942284,-134185.31165289565
p42-03203,39.91992046992626,-76.72651660587785,1954252.9216812088,-286461.3631992539
p27-00400,47.60414066294113,-92.47107210255432,563568.5931994941,316060.619767859
p37-01100,35.24552446347975,-80.84243683070893,1727664.1717835993,-886009.6547340445
p08-00502,38.318398161483195,-104.57492327450456,-399552.71143799945,-731582.9160632059
p28-01400,32.378744938034586,-90.15235550334633,927895.0992472105,-1347187.83046886
p25-02000,42.214450218151086,-72.56619460762045,2207368.0030355845,66606.3955382885
p51-01000,38.01530835551374,-78.47571726560733,1863263.0875429234,-533430.9786572835
p26-00900,43.52035716623972,-84.13671484372868,1269106.2873949474,-40304.51511760935
p18-02100,40.227534216565196,-85.39693543475673,1232819.4144660751,-421157.1909968362
p55-01100,43.067358603910506,-89.41833051135366,856714.3138728472,-159263.70469185314
p37-02801,35.80413443734767,-78.7286710234371,1899332.0313761411,-779421.0604475602
p36-02100,42.84399988632543,-73.80343928492002,2090534.0892788966,100968.44709697475
p48-06000,27.761055904804987,-99.3315759544115,66520.86103926494,-1909406.4523091172
p53-00100,48.82566917301452,-121.7174138672908,-1565904.8621509213,641274.9262324552
p25-00300,42.60393875479753,-71.90787404285653,2243336.730109282,126266.20977839392
p35-00605,35.390837268591824,-106.8175296506648,-619350.3875888074,-1042248.6476982979
p55-00300,44.452461801367704,-88.00376146613665,947879.5184562674,9372.391170792318
p55-00500,44.93880168508369,-91.28224575224444,684525.4396782927,30080.037429170225
p47-00300,36.496877438008646,-87.38293304157797,1125704.2013550324,-859914.3175055644
p39-04501,39.05902005362924,-84.22954069213611,1353371.7098555851,-531218.1461981259
p13-04000,31.661369656588487,-84.17721389603219,1497340.7407299655,-1341334.9060292826
p18-02700,39.524617326560985,-87.31304379504006,1084150.4793148034,-525420.446134804
p45-00900,33.5055225305586,-81.9187487099748,1669418.0981615197,-1097647.4757829243
p28-02300,30.529769608387202,-88.84853617182137,1073007.873676715,-1535381.4396409485
p12-03604,26.151843284429816,-80.48781875203666,1954640.6486282735,-1868550.3962968122
p32-00503,36.21450488468427,-115.01869883240731,-1342518.8513786774,-855627.6207707215
p48-02900,32.3014795195049,-99.89012077824093,10390.978039821242,-1409115.5768741288
p35-00400,35.526548138746556,-105.9941134202966,-543738.0003025564,-1032904.114277793
p39-04301,39.438618498676064,-84.57551393808484,1316706.7606341818,-495138.18713981105
p12-01102,30.215912864601655,-81.69257157739897,1757699.1009841405,-1452128.2403733213
p33-00900,42.77360256307776,-71.45168774638233,2271498.6494657146,157091.26839119353
p18-02305,39.807327316146996,-86.11735590859453,1180194.7138101864,-477909.9450139351
p12-03400,27.21527894454031,-80.4590908313343,1936158.9927795138,-1752416.8245811316
p06-03001,36.5894435560435,-121.80764618617506,-1925239.6774983592,-681813.49576525
p37-00202,35.71166775061339,-82.60163002888969,1562261.5427180256,-869547.8854630161
p24-01001,38.81923667174883,-77.45888555108142,1926066.632774097,-422888.1645909633
